"taxonID","description","type","language"
"alien-plants-belgium:taxon:22b3dddf4f7196312729aae1ec2ba62e","Pantropical","native range","en"
"alien-plants-belgium:taxon:22b3dddf4f7196312729aae1ec2ba62e","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:22bb2763a041c12ded6d126a02f815d7","vagrant","origin","en"
"alien-plants-belgium:taxon:22bb2763a041c12ded6d126a02f815d7","cultivated origin","native range","en"
"alien-plants-belgium:taxon:22bb2763a041c12ded6d126a02f815d7","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:22f7e070e90ff7fe1b47cb5461f5bd15","vagrant","origin","en"
"alien-plants-belgium:taxon:22f7e070e90ff7fe1b47cb5461f5bd15","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:22f7e070e90ff7fe1b47cb5461f5bd15","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:22f7e070e90ff7fe1b47cb5461f5bd15","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:22f7e070e90ff7fe1b47cb5461f5bd15","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:232bf12e6a6ef988bd2812e1406ea9ce","introduced","origin","en"
"alien-plants-belgium:taxon:232bf12e6a6ef988bd2812e1406ea9ce","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:232bf12e6a6ef988bd2812e1406ea9ce","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2331afb0d2943fb432f07f82a22097a1","vagrant","origin","en"
"alien-plants-belgium:taxon:2331afb0d2943fb432f07f82a22097a1","Southern America (WGSRPD:8)","native range","en"
"alien-plants-belgium:taxon:2331afb0d2943fb432f07f82a22097a1","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:23814133838afad154607035368241ee","introduced","origin","en"
"alien-plants-belgium:taxon:23814133838afad154607035368241ee","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:23814133838afad154607035368241ee","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:23a5373ce65743992f50fe41c56c7a67","vagrant","origin","en"
"alien-plants-belgium:taxon:23a5373ce65743992f50fe41c56c7a67","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:23a5373ce65743992f50fe41c56c7a67","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:23b22f09661540f8bfb36adf101926fc","introduced","origin","en"
"alien-plants-belgium:taxon:23b22f09661540f8bfb36adf101926fc","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:23b22f09661540f8bfb36adf101926fc","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:23b22f09661540f8bfb36adf101926fc","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:23c083d309351448ce1b86a7322bd7d6","vagrant","origin","en"
"alien-plants-belgium:taxon:23c083d309351448ce1b86a7322bd7d6","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:23c083d309351448ce1b86a7322bd7d6","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:23c083d309351448ce1b86a7322bd7d6","cbd_2014_pathway:contaminant_on_plants","pathway","en"
"alien-plants-belgium:taxon:240563830b91b821b3ffbb99a000d8b2","vagrant","origin","en"
"alien-plants-belgium:taxon:240563830b91b821b3ffbb99a000d8b2","Southern America (WGSRPD:8)","native range","en"
"alien-plants-belgium:taxon:240563830b91b821b3ffbb99a000d8b2","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:240e434fb35b3655b899ab79394f468a","introduced","origin","en"
"alien-plants-belgium:taxon:240e434fb35b3655b899ab79394f468a","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:240e434fb35b3655b899ab79394f468a","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2410137eda1d4e94f124672ba86be4c6","vagrant","origin","en"
"alien-plants-belgium:taxon:2410137eda1d4e94f124672ba86be4c6","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2410137eda1d4e94f124672ba86be4c6","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:2410137eda1d4e94f124672ba86be4c6","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2410137eda1d4e94f124672ba86be4c6","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:2410137eda1d4e94f124672ba86be4c6","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:24229a959e388261b86f00706b48656d","introduced","origin","en"
"alien-plants-belgium:taxon:24229a959e388261b86f00706b48656d","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:24229a959e388261b86f00706b48656d","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:24229a959e388261b86f00706b48656d","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:24268a21f91418597b434ced43a75e4d","introduced","origin","en"
"alien-plants-belgium:taxon:24268a21f91418597b434ced43a75e4d","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:24268a21f91418597b434ced43a75e4d","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:242a2bb5166b784a50e71fa4245529a1","vagrant","origin","en"
"alien-plants-belgium:taxon:242a2bb5166b784a50e71fa4245529a1","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:24496597f2233bd014dc0373b732509a","introduced","origin","en"
"alien-plants-belgium:taxon:24496597f2233bd014dc0373b732509a","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:24496597f2233bd014dc0373b732509a","cbd_2014_pathway:contaminant_habitat_material","pathway","en"
"alien-plants-belgium:taxon:2478784af65389dff6e8cd8a512802b7","vagrant","origin","en"
"alien-plants-belgium:taxon:2478784af65389dff6e8cd8a512802b7","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2478784af65389dff6e8cd8a512802b7","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:249a52691c22adf9d6ff3fb5863760d2","vagrant","origin","en"
"alien-plants-belgium:taxon:249a52691c22adf9d6ff3fb5863760d2","Europe (WGSRPD:1)","native range","en"
