"id","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate"
176,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1938"
177,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1892/1949"
178,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2013"
179,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1978/2005"
180,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1850/2017"
181,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1820/2017"
182,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1945/2017"
183,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2017"
184,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1811/2017"
185,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1870/2016"
186,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1811/2017"
187,"ISO_3166-2:BE","Belgium","BE","present","contaminant:nursery","1859/2017"
188,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2000/2016"
189,"ISO_3166-2:BE","Belgium","BE","present","escape:food_bait","2015"
190,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material","1947/2017"
191,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1872/2016"
192,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1928/2011"
193,"ISO_3166-2:BE","Belgium","BE","present","","2000/2017"
194,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1921/2016"
195,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1894"
196,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1997"
197,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1908/1955"
198,"ISO_3166-2:BE","Belgium","BE","present","","2013"
199,"ISO_3166-2:BE","Belgium","BE","present","","1815/1952"
200,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2016"
201,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1850/2016"
202,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2004/2016"
203,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1999/2001"
204,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1872/1955"
205,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1892/1985"
206,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2009/2012"
207,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1987/2017"
208,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2017"
209,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1918"
210,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1835/2017"
211,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1877/2017"
212,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1965"
213,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1993/2017"
214,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2006/2016"
215,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014/2016"
216,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2012/2016"
217,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1955/2017"
218,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1983/2017"
219,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","2005/2017"
220,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1997/2017"
221,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2000/2016"
222,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2010/2017"
223,"ISO_3166-2:BE","Belgium","BE","present","contaminant:nursery","2017"
224,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2013/2017"
225,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2011"
226,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1915/1948"
227,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1999/2017"
228,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1972"
229,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2005/2016"
230,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1952/2017"
231,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2017"
232,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2010"
233,"ISO_3166-2:BE","Belgium","BE","present","","1984/2017"
234,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1992/2017"
235,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2009/2014"
236,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2009"
237,"ISO_3166-2:BE","Belgium","BE","present","escape:food_bait","1945/2016"
238,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2015/2017"
239,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1828/2017"
240,"ISO_3166-2:BE","Belgium","BE","present","","1952"
